v3;v28;v30;v31;v32;v33;v34;v35;v37;v135;v178;v179;v181;v182;v183;v184;v185;v186;v187;v188;v189;v190;v191;v197;v198;v199;v200;v201;v202;v210;v214;v216;v218;edad;añonac;v89;v90;TIPORELI;order;moresay;prices;speech;maneras;indep;trduro;respon;imag;toleran;ahorro;determi;ferelig;noego;obedien;intpoli;menosdin;INDIV;AUTOEXPR;STATUSR;v123
496;3;3;3;3;3;3;3;2;2;2;1;3;1;1;1;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;7;#¡NULO!;1;1;2;8;9;1;1;2;24;14;24.00;1.957;1;1;2.00;1.00;2.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;1.00;0.00;0.00;0.00;0.00;0.00;3.00;3.00;0.93744;1.80395;-1.42;3
497;3;3;3;3;3;3;3;3;1;2;1;3;1;1;1;1;2;2;1;1;8;2;1;1;1;1;1;1;98;2;69;12;69.00;1.912;5;3;2.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;0.00;1.00;0.00;0.00;1.00;3.00;-0.28540;0.96599;-1.53;#¡NULO!
498;3;3;3;3;3;3;3;3;3;2;1;4;1;1;#¡NULO!;#¡NULO!;2;#¡NULO!;#¡NULO!;1;10;#¡NULO!;1;1;3;10;10;5;98;2;36;12;36.00;1.945;1;4;3.00;2.00;0.00;1.00;0.00;0.00;1.00;0.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;1.00;3.00;-0.05690;0.53322;0.33;#¡NULO!
499;3;3;3;3;3;3;3;1;1;1;1;3;1;1;1;1;1;1;1;1;10;1;1;1;1;1;8;1;98;1;18;21;18.00;1.963;6;#¡NULO!;2.00;2.00;0.00;1.00;0.00;0.00;1.00;0.00;1.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;4.00;3.00;1.13476;-0.44327;1.80;10
500;3;3;3;3;3;3;3;3;2;2;1;2;1;1;1;1;1;1;1;1;4;1;1;1;2;4;1;1;98;2;19;21;19.00;1.962;6;#¡NULO!;1.00;0.00;1.00;0.00;2.00;1.00;1.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;3.00;1.96351;0.09395;0.78;5
501;3;3;3;3;3;3;3;2;3;2;10;7;2;2;2;2;2;2;2;2;1;2;1;1;2;10;10;5;2;2;23;14;23.00;1.958;1;1;4.00;2.00;1.00;0.00;0.00;1.00;1.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;2.00;3.00;0.64201;0.67949;-1.42;3
502;3;3;3;3;3;3;3;3;1;#¡NULO!;1;2;1;1;1;1;2;2;1;2;8;1;1;1;1;1;1;1;98;2;55;14;55.00;1.926;1;3;1.00;1.00;0.00;2.00;0.00;1.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;-0.51199;-1.50582;-1.53;4
503;3;3;3;3;3;3;3;3;4;1;1;4;2;1;2;1;2;2;2;2;4;2;8;8;1;8;1;1;4;2;25;13;25.00;1.956;1;3;4.00;2.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.00;3.00;0.22082;0.10541;1.01;8
504;3;3;3;3;3;3;3;1;3;2;1;7;2;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;3;2;10;10;10;10;2;1;98;1;51;15;51.00;1.930;1;2;4.00;2.00;0.00;0.00;1.00;0.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;2.00;3.00;-0.37216;0.50590;-1.15;#¡NULO!
505;3;3;3;3;3;3;3;3;4;2;1;7;2;1;2;2;2;2;2;2;3;2;7;7;8;10;1;1;98;1;19;13;19.00;1.962;6;#¡NULO!;4.00;0.00;2.00;0.00;1.00;0.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;3.00;1.57107;0.77770;-1.42;#¡NULO!
506;3;3;3;3;3;3;3;3;4;2;1;7;2;1;2;2;2;2;2;1;10;1;10;10;10;10;1;1;98;2;51;12;51.00;1.930;2;2;4.00;0.00;2.00;0.00;1.00;0.00;0.00;1.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;1.00;3.00;0.61523;1.50891;-0.05;#¡NULO!
507;3;3;3;3;3;3;3;3;2;#¡NULO!;1;3;1;1;1;1;1;1;1;1;10;1;1;1;1;7;8;3;98;2;52;12;52.00;1.929;5;3;2.00;2.00;0.00;1.00;0.00;1.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;3.00;-1.01628;0.03436;-0.62;#¡NULO!
508;3;3;2;2;3;3;3;3;3;2;1;7;1;1;1;1;2;2;2;2;4;1;1;5;5;5;1;1;2;2;48;14;48.00;1.933;1;2;3.00;2.00;0.00;1.00;0.00;1.00;1.00;1.00;0.00;1.00;1.00;0.00;1.00;1.00;0.00;0.00;2.00;3.00;0.12247;-0.44425;-1.85;5
509;3;3;2;2;3;3;3;2;4;2;10;7;3;2;2;2;2;2;2;2;1;2;10;10;10;10;10;10;3;1;33;15;33.00;1.948;1;1;4.00;0.00;2.00;0.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;0.00;1.00;0.00;0.00;0.00;3.00;3.00;2.53250;1.20330;-1.85;1
