NENTREVI;TIPORELI;prelig;impdio;configle;misa;dios;vidadesp;infierno;pecado;homosex;prostit;aborto;divorcio;eutana;suicid;INDIVIDU;Material;postmat;ideolog;ideolor;SEXO;ecivil;edad;estudi;ocupac;clase
663;4.00;2;1;4;3;2.00;2.00;2.00;2.00;10;5;1;9;10;5;0.92431;-0.77887;2;3;1.00;2;6;20.00;19;9;4
670;2.00;2;4;2;2;2.00;2.00;2.00;2.00;1;6;1;2;99;99;0.39395;0.98282;1;99;4.00;1;1;37.00;14;2;3
671;2.00;1;5;3;1;1.00;1.00;2.00;2.00;8;8;5;10;99;1;1.31446;-1.22111;3;99;4.00;2;5;48.00;21;4;2
672;2.00;2;3;2;2;2.00;2.00;2.00;2.00;4;3;2;6;1;4;-0.05166;0.00047;2;5;2.00;1;6;58.00;21;3;1
674;1.00;1;10;1;1;1.00;1.00;1.00;1.00;1;1;1;1;1;2;-0.95540;0.39766;1;99;4.00;2;5;63.00;14;99;2
685;2.00;1;7;3;1;1.00;2.00;2.00;1.00;5;5;1;2;3;1;-0.89334;-0.91033;2;5;2.00;2;1;66.00;20;99;3
694;4.00;3;1;4;3;2.00;2.00;2.00;2.00;5;5;2;7;99;5;1.33722;-0.00353;2;3;1.00;1;1;68.00;12;7;3
705;1.00;1;8;1;1;1.00;1.00;1.00;1.00;1;1;1;1;1;1;-1.00932;0.14742;1;99;4.00;2;1;54.00;12;99;4
711;2.00;1;5;2;3;1.00;1.00;2.00;1.00;1;1;1;3;1;1;-0.90135;-0.27864;2;99;4.00;1;5;71.00;12;11;4
712;4.00;2;2;4;3;1.00;2.00;2.00;2.00;8;4;5;8;3;4;1.71555;-1.22118;3;3;1.00;2;6;23.00;21;99;2
717;4.00;2;4;3;3;1.00;2.00;2.00;1.00;1;1;1;3;1;1;-0.80197;1.64750;1;3;1.00;2;1;36.00;14;99;3
731;1.00;2;10;1;1;1.00;2.00;2.00;1.00;6;1;1;1;1;1;-0.89057;-0.62836;2;99;4.00;2;6;20.00;12;99;4
